PROBEID	SYMBOL	GENENAME
202936_s_at	SOX9	SRY-box 9
205981_s_at	ING2	inhibitor of growth family member 2
201911_s_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
219253_at	TMEM185B	transmembrane protein 185B
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
201636_at	FXR1	FMR1 autosomal homolog 1
207088_s_at	SLC25A11	solute carrier family 25 member 11
201735_s_at	CLCN3	chloride voltage-gated channel 3
202733_at	P4HA2	prolyl 4-hydroxylase subunit alpha 2
200955_at	IMMT	inner membrane mitochondrial protein
202475_at	TMEM147	transmembrane protein 147
208944_at	TGFBR2	transforming growth factor beta receptor 2
201609_x_at	ICMT	isoprenylcysteine carboxyl methyltransferase
201043_s_at	ANP32A	acidic nuclear phosphoprotein 32 family member A
219013_at	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
200622_x_at	CALM3	calmodulin 3
200622_x_at	CALM1	calmodulin 1
200622_x_at	CALM2	calmodulin 2
207233_s_at	MITF	melanogenesis associated transcription factor
202753_at	PSMD6	proteasome 26S subunit, non-ATPase 6
209256_s_at	KLHDC10	kelch domain containing 10
209572_s_at	EED	embryonic ectoderm development
201804_x_at	TBCB	tubulin folding cofactor B
209837_at	AP4M1	adaptor related protein complex 4 mu 1 subunit
201729_s_at	KIAA0100	KIAA0100
204297_at	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
200620_at	TMEM59	transmembrane protein 59
215504_x_at	ANKRD10-IT1	ANKRD10 intronic transcript 1
206551_x_at	KLHL24	kelch like family member 24
208602_x_at	CD6	CD6 molecule
214656_x_at	MYO1C	myosin IC
204255_s_at	VDR	vitamin D receptor
220575_at	FAM106A	family with sequence similarity 106 member A
205998_x_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4
207953_at	NA	NA
206186_at	MPP3	membrane palmitoylated protein 3
206807_s_at	ADD2	adducin 2
215067_x_at	PRDX2	peroxiredoxin 2
206160_at	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2
203949_at	MPO	myeloperoxidase
215588_x_at	RIOK3	RIO kinase 3
207146_at	KRT32	keratin 32
213125_at	OLFML2B	olfactomedin like 2B
213544_at	ING2	inhibitor of growth family member 2
217703_x_at	NA	NA
215529_x_at	DIP2A	disco interacting protein 2 homolog A
217713_x_at	NA	NA
207730_x_at	NA	NA
210880_s_at	EFS	embryonal Fyn-associated substrate
215861_at	LOC101927770	uncharacterized LOC101927770
211446_at	RGSL1	regulator of G protein signaling like 1
218155_x_at	TSR1	TSR1, ribosome maturation factor
